 temperature_(K)  energy_(eV/atom)
    1.000000e+07          0.001376
    1.000000e+06          0.001521
    9.478885e+05          0.001396
    8.984927e+05          0.001494
    8.516709e+05          0.001439
    8.072891e+05          0.001454
    7.652201e+05          0.001602
    7.253434e+05          0.001388
    6.875447e+05          0.001439
    6.517157e+05          0.001316
    6.177538e+05          0.001480
    5.855618e+05          0.001426
    5.550473e+05          0.001311
    5.261230e+05          0.001414
    4.987059e+05          0.001450
    4.727177e+05          0.001361
    4.480836e+05          0.001360
    4.247334e+05          0.001306
    4.025999e+05          0.001451
    3.816198e+05          0.001348
    3.617330e+05          0.001424
    3.428826e+05          0.001438
    3.250145e+05          0.001191
    3.080775e+05          0.001449
    2.920231e+05          0.001458
    2.768054e+05          0.001366
    2.623807e+05          0.001398
    2.487076e+05          0.001344
    2.357471e+05          0.001342
    2.234620e+05          0.001343
    2.118170e+05          0.001309
    2.007790e+05          0.001389
    1.903161e+05          0.001375
    1.803984e+05          0.001378
    1.709976e+05          0.001391
    1.620867e+05          0.001437
    1.536401e+05          0.001400
    1.456337e+05          0.001236
    1.380445e+05          0.001257
    1.308508e+05          0.001428
    1.240320e+05          0.001440
    1.175685e+05          0.001383
    1.114418e+05          0.001224
    1.056344e+05          0.001291
    1.001297e+05          0.001210
    9.491175e+04          0.001334
    8.996576e+04          0.001238
    8.527752e+04          0.001330
    8.083358e+04          0.001316
    7.662123e+04          0.001320
    7.262838e+04          0.001237
    6.884361e+04          0.001225
    6.525607e+04          0.001058
    6.185548e+04          0.001125
    5.863210e+04          0.001183
    5.557670e+04          0.001186
    5.268051e+04          0.001128
    4.993526e+04          0.001131
    4.733306e+04          0.001168
    4.486646e+04          0.001140
    4.252840e+04          0.001023
    4.031219e+04          0.001073
    3.821146e+04          0.001031
    3.622021e+04          0.001065
    3.433272e+04          0.001027
    3.254359e+04          0.000877
    3.084770e+04          0.000753
    2.924018e+04          0.000841
    2.771643e+04          0.000853
    2.627209e+04          0.000762
    2.490301e+04          0.000657
    2.360528e+04          0.000752
    2.237517e+04          0.000734
    2.120917e+04          0.000589
    2.010393e+04          0.000454
    1.905628e+04          0.000551
    1.806323e+04          0.000466
    1.712193e+04          0.000487
    1.622968e+04          0.000311
    1.538393e+04          0.000301
    1.458225e+04          0.000278
    1.382235e+04          0.000249
    1.310205e+04          0.000088
    1.241928e+04          0.000084
    1.177209e+04         -0.000073
    1.115863e+04         -0.000046
    1.057714e+04         -0.000327
    1.002595e+04         -0.000408
    9.503481e+03         -0.000498
    9.008241e+03         -0.000498
    8.538809e+03         -0.000677
    8.093839e+03         -0.000750
    7.672057e+03         -0.000959
    7.272255e+03         -0.001006
    6.893287e+03         -0.001263
    6.534068e+03         -0.001372
    6.193568e+03         -0.001523
    5.870812e+03         -0.001682
    5.564876e+03         -0.001960
    5.274882e+03         -0.002088
    5.000000e+03         -0.002245
    4.950000e+03         -0.002321
    4.900000e+03         -0.002253
    4.850000e+03         -0.002303
    4.800000e+03         -0.002403
    4.750000e+03         -0.002594
    4.700000e+03         -0.002402
    4.650000e+03         -0.002598
    4.600000e+03         -0.002717
    4.550000e+03         -0.002708
    4.500000e+03         -0.002698
    4.450000e+03         -0.002936
    4.400000e+03         -0.002855
    4.350000e+03         -0.002977
    4.300000e+03         -0.002950
    4.250000e+03         -0.002952
    4.200000e+03         -0.003134
    4.150000e+03         -0.003149
    4.100000e+03         -0.003217
    4.050000e+03         -0.003217
    4.000000e+03         -0.003318
    3.950000e+03         -0.003376
    3.900000e+03         -0.003410
    3.850000e+03         -0.003517
    3.800000e+03         -0.003569
    3.750000e+03         -0.003638
    3.700000e+03         -0.003640
    3.650000e+03         -0.003735
    3.600000e+03         -0.003987
    3.550000e+03         -0.004057
    3.500000e+03         -0.003980
    3.450000e+03         -0.004123
    3.400000e+03         -0.004169
    3.350000e+03         -0.004415
    3.300000e+03         -0.004493
    3.250000e+03         -0.004625
    3.200000e+03         -0.004679
    3.150000e+03         -0.004824
    3.100000e+03         -0.004962
    3.050000e+03         -0.005103
    3.000000e+03         -0.005205
    2.950000e+03         -0.005221
    2.900000e+03         -0.005356
    2.850000e+03         -0.005702
    2.800000e+03         -0.005659
    2.750000e+03         -0.005930
    2.700000e+03         -0.006081
    2.650000e+03         -0.006162
    2.600000e+03         -0.006442
    2.550000e+03         -0.006709
    2.500000e+03         -0.006778
    2.450000e+03         -0.007056
    2.400000e+03         -0.007054
    2.350000e+03         -0.007355
    2.300000e+03         -0.007627
    2.250000e+03         -0.007965
    2.200000e+03         -0.008215
    2.150000e+03         -0.008623
    2.100000e+03         -0.008702
    2.050000e+03         -0.009239
    2.000000e+03         -0.009704
    1.950000e+03         -0.009941
    1.900000e+03         -0.010199
    1.850000e+03         -0.010513
    1.800000e+03         -0.011260
    1.750000e+03         -0.011869
    1.700000e+03         -0.012215
    1.650000e+03         -0.012883
    1.600000e+03         -0.013618
    1.550000e+03         -0.014327
    1.500000e+03         -0.015505
    1.450000e+03         -0.016779
    1.400000e+03         -0.018202
    1.350000e+03         -0.020644
    1.300000e+03         -0.023936
    1.250000e+03         -0.027426
    1.200000e+03         -0.030815
    1.150000e+03         -0.035165
    1.100000e+03         -0.038546
    1.050000e+03         -0.041785
    1.000000e+03         -0.044854
    9.500000e+02         -0.047588
    9.000000e+02         -0.050609
    8.500000e+02         -0.052833
    8.000000e+02         -0.055393
    7.500000e+02         -0.057794
    7.000000e+02         -0.060425
    6.500000e+02         -0.062992
    6.000000e+02         -0.065347
    5.500000e+02         -0.067998
    5.000000e+02         -0.070317
    4.500000e+02         -0.072998
    4.000000e+02         -0.075318
    3.500000e+02         -0.077677
    3.000000e+02         -0.080062
    2.500000e+02         -0.082657
    2.000000e+02         -0.085025
    1.500000e+02         -0.087149
    1.000000e+02         -0.088533
    5.000000e+01         -0.089303
